URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.242",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/BREstadoEvento-1.0"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/BREstadoResolucaoDiagnosticoProblema-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCBO,1.0.0-release,active,,BRCBO,Classificação Brasileira de Ocupações - CBO (CodeSystem),"Classifica as profissões do mercado de trabalho brasileiro.","ValueSet/BROcupacao-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCID10,1.0.0-release,active,,BRCID10,Classificação Internacional de Doenças - Décima Revisão - CID-10 (CodeSystem),"Classifica as doenças e outros problemas em saúde registrados em diversos tipos de documentos clínicos.","ValueSet/BRCID10-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCategoriaDiagnostico,1.0.0-release,active,,BRCategoriaDiagnostico,Categoria do Diagnóstico (CodeSystem),"Códigos para representação do tipo de categoria do diagnóstico realizado.","ValueSet/BRCategoriaDiagnostico"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCondicaoMaternal,1.0.0-release,active,,BRCondicaoMaternal,Condição Maternal (CodeSystem),"Indicação da condição maternal da pessoa vacinada.","ValueSet/BRCondicaoMaternal-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRDose,1.0.0-release,active,,BRDose,Dose de Vacina,"Define a dose da administração de uma substância.","ValueSet/BRDose-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BREstrategiaVacinacao,1.0.0-release,active,,BREstrategiaVacinacao,Estratégia de Vacinação (CodeSystem),"Classifica a estratégia de vacinação adotada.","ValueSet/BREstrategiaVacinacao-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRFabricantePNI,1.0.0-release,active,,BRFabricantePNI,Fabricante do Imunobiológico (CodeSystem),"Apresenta o fabricante do imunobiológico.","ValueSet/BRFabricanteImunobiologico-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRGrupoAtendimento,1.0.0-release,active,,BRGrupoAtendimento,Grupo de Atendimento (CodeSystem),"Domínio que identifica o tipo de grupo de atendimento que o indivíduo apresentou para a vacinação em campanha.","ValueSet/BRGrupoAtendimento-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRImunobiologico,1.0.0-release,active,,BRImunobiologico,Imunobiológico (CodeSystem),"Classifica os tipos de imunobiológicos.","ValueSet/BRImunobiologico-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRLocalAplicacao,1.0.0-release,active,,BRLocalAplicacao,Local de Aplicação (CodeSystem),"Define a localização anatômica de aplicação de uma substância","ValueSet/BRLocalAplicacao-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRPais,1.0.0-release,active,,BRPais,País (CodeSystem),"Códigos para representação de países.","ValueSet/BRPais-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRRegistroOrigem,1.0.0-release,active,,BRRegistroOrigem,Registro de Origem (CodeSystem),"Códigos para representação da Origem do Registro de Imunobiológico.","ValueSet/BRRegistroOrigem"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRTipoDocumento,1.0.0-release,active,,BRTipoDocumento,Tipo de Documento (CodeSystem),"Classificação dos tipos de documentos compartilhados no Brasil.","ValueSet/BRTipoDocumento-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRViaAdministracao,1.0.0-release,active,,BRViaAdministracao,Via de Administração,"Classifica a via na qual foi administrada uma substância em um indivíduo.","ValueSet/BRViaAdministracao-1.0"
