Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/myig.xml	11504	-	0	0	0	0	0	0	11	50	0	0	0	0	0	0	0	0	0	0	0	137	206	0	0	0	7	0	2
input/examples/example-RIA-R.json	7447	4	12	0	1	0	0	0	1	284	0	0	0	0	0	0	0	0	0	0	0	28	37	0	0	0	0	0	1
input/resources/CodeSystem-BRCBO.xml	880947	454	0	0	2	0	1	0	62	412	0	0	1	0	0	0	0	8	0	0	0	1168	2282	0	0	0	41	0	11
input/resources/CodeSystem-BRCID10.xml	1929907	659	0	0	15	0	0	0	90	1354	0	0	7	0	0	0	0	11	0	0	0	3193	7667	0	0	0	158	0	5
input/resources/CodeSystem-BRCategoriaDiagnostico.xml	864	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	1	0	0
input/resources/CodeSystem-BRCondicaoMaternal.xml	880	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	24	0	0	0	0	0	0
input/resources/CodeSystem-BRDose.xml	23226	8	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	38	44	0	0	0	1	0	0
input/resources/CodeSystem-BREstrategiaVacinacao.xml	4917	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	15	31	0	0	0	1	0	0
input/resources/CodeSystem-BRFabricantePNI.xml	29327	9	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	1	0	0	0	50	60	0	0	0	1	0	0
input/resources/CodeSystem-BRGrupoAtendimento.xml	27365	8	0	0	0	0	0	0	1	11	0	0	1	0	0	0	0	0	0	0	0	52	108	0	0	0	2	0	1
input/resources/CodeSystem-BRImunobiologico.xml	51490	12	0	0	0	0	0	0	3	16	0	0	0	0	0	0	0	0	0	0	0	77	82	0	0	0	2	0	0
input/resources/CodeSystem-BRLocalAplicacao.xml	8888	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	33	42	0	0	0	1	0	0
input/resources/CodeSystem-BRPais.xml	30317	11	0	0	1	0	0	0	2	11	0	0	0	0	0	1	0	0	0	0	0	90	80	0	0	0	2	0	0
input/resources/CodeSystem-BRRegistroOrigem.xml	835	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	27	0	0	0	1	0	0
input/resources/CodeSystem-BRTipoDocumento.xml	2667	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	18	40	0	0	0	0	0	0
input/resources/CodeSystem-BRViaAdministracao.xml	21757	7	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	0	0	0	35	45	0	0	0	1	0	1
input/resources/StructureDefinition-BRCID10Avaliado-1.0.xml	16337	6	0	55	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	242	865	0	1	0	7	0	1
input/resources/StructureDefinition-BRCondicaoMaternal.xml	3005	3	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	56	159	0	0	0	2	0	0
input/resources/StructureDefinition-BRContatoHanseniase.xml	1577	3	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	30	113	0	0	0	1	0	0
input/resources/StructureDefinition-BREstrategiaVacinacao-1.0.xml	2747	4	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	52	128	0	0	0	2	0	0
input/resources/StructureDefinition-BREstrategiaVacinacaoPesquisa-1.0.xml	4088	3	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	73	143	0	0	0	2	0	1
input/resources/StructureDefinition-BRGrupoAtendimento.xml	2559	2	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	59	123	0	0	0	2	0	0
input/resources/StructureDefinition-BRImunobiologicoAdministrado-3.0.xml	28851	7	0	61	0	0	0	0	0	66	0	0	1	0	0	0	0	2	0	0	0	476	791	0	0	0	15	1	1
input/resources/StructureDefinition-BRRegistroImunobiologicoAdministradoRotina-2.0.json	11726	2	0	32	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	269	335	0	1	0	8	0	1
input/resources/ValueSet-BRCID10-1.0.xml	759	2	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	10	281	0	0	0	1	0	0
input/resources/ValueSet-BRCategoriaDiagnostico.xml	776	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	33	0	0	0	0	0	0
input/resources/ValueSet-BRCondicaoMaternal-1.0.xml	753	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	10	29	0	0	0	0	0	0
input/resources/ValueSet-BRDose-1.0.xml	703	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	9	36	0	0	0	0	0	0
input/resources/ValueSet-BREstadoEvento-1.0.xml	2201	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	32	0	0	0	1	0	0
input/resources/ValueSet-BREstadoResolucaoDiagnosticoProblema-1.0.xml	1920	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	33	0	0	0	0	0	0
input/resources/ValueSet-BREstrategiaVacinacao-1.0.xml	751	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	34	0	0	0	0	0	0
