URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","StructureDefinition/BRRegistroImunobiologicoAdministradoRotina-2.0","hl7.fhir.r4.core"
http://www.saude.gov.br/fhir/r4/ValueSet/BRCID10-1.0,1.0.0-release,active,,BRCID10,Classificação Internacional de Doenças - Décima Revisão - CID-10 (ValueSet),"Classificação Internacional de Doenças - Décima Revisão (CID-10)","StructureDefinition/BRCID10Avaliado-1.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRCategoriaDiagnostico,1.0.0-release,active,,BRCategoriaDiagnostico,Categoria do Diagnóstico (ValueSet),"ValueSet utilizado para definir o tipo de categoria do diagnóstico realizado.","StructureDefinition/BRCID10Avaliado-1.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRCondicaoMaternal-1.0,1.0.0-release,active,,BRCondicaoMaternal,Condição Maternal (ValueSet),"ValueSet utilizado para Indicar a condição maternal da pessoa vacinada.","StructureDefinition/BRCondicaoMaternal","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRDose-1.0,1.0.0-release,active,,BRDose,Dose do Imunobiológico,"ValueSet utilizado para definir o tipo da dose administrada no indivíduo.","StructureDefinition/BRImunobiologicoAdministrado-3.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BREstadoEvento-1.0,1.0.0-release,active,,BREstadoEvento,Estado do Evento,"Identificação do estado de um evento.","StructureDefinition/BRImunobiologicoAdministrado-3.0","hl7.fhir.r4.core"
http://www.saude.gov.br/fhir/r4/ValueSet/BREstadoResolucaoDiagnosticoProblema-1.0,1.0.0-release,active,,BREstadoResolucaoDiagnosticoProblema,Estado da Resolução de Diagnóstico ou Problema,"Estado da resolução de um diagnóstico ou problema.","StructureDefinition/BRCID10Avaliado-1.0","THO"
http://www.saude.gov.br/fhir/r4/ValueSet/BREstrategiaVacinacao-1.0,1.0.0-release,active,,BREstrategiaVacinacao,Estratégia de Vacinação (ValueSet),"Identifica a estratégia de vacinação adotada.","StructureDefinition/BREstrategiaVacinacao-1.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRFabricanteImunobiologico-1.0,1.0.0-release,active,,BRFabricanteImunobiologico,Fabricante do Imunobiológico (ValueSet),"Fabricante do imunobiológico administrado","StructureDefinition/BRImunobiologicoAdministrado-3.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRGrupoAtendimento-1.0,1.0.0-release,active,,BRGrupoAtendimento,Tipo de grupo de atendimento (ValueSet),"Identifica o tipo de grupo de atendimento que o indivíduo apresentou para a vacinação em campanha.","StructureDefinition/BRGrupoAtendimento","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRImunobiologico-1.0,1.0.0-release,active,,BRImunobiologico,Imunobiológico (ValueSet),"Tipos de imunobiológicos disponíveis no Brasil.","StructureDefinition/BRImunobiologicoAdministrado-3.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRLocalAplicacao-1.0,1.0.0-release,active,,BRLocalAplicacao,Local de Aplicação (ValueSet),"Localização anatômica para aplicação de um injetável.","StructureDefinition/BRImunobiologicoAdministrado-3.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BROcupacao-1.0,1.0.0-release,active,,BROcupacao,Classificação Brasileira de Ocupações - CBO (ValueSet),"Classifica as profissões do mercado de trabalho brasileiro.","StructureDefinition/BRImunobiologicoAdministrado-3.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRPais-1.0,1.0.0-release,active,,BRPais,País (ValueSet),"Códigos para representação de países.","StructureDefinition/BRImunobiologicoAdministrado-3.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRRegistroOrigem,1.0.0-release,active,,BRRegistroOrigem,Registro de Origem (ValueSet),"Códigos para representação da Origem do Registro de Imunobiológico.","StructureDefinition/BRImunobiologicoAdministrado-3.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRTipoDocumento-1.0,1.0.0-release,active,,BRTipoDocumento,Tipo de Documento (ValueSet),"Classifica o tipo de documento que está sendo trafegado.","StructureDefinition/BRRegistroImunobiologicoAdministradoRotina-2.0","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRViaAdministracao-1.0,1.0.0-release,active,,BRViaAdministracao,Via de Administração do Imunobiológico,"Via de administração de um imunobiológico.","StructureDefinition/BRImunobiologicoAdministrado-3.0","Internal"
